ID,상품명,바코드,입수,납품가,원코드,위치정보
4499006,테망(특대),8806382152649 ,30,2860 ,8806382152649 ,1
65101006,에너자이저맥스D2,8809233015643 ,1,5485 ,8888021200140 ,1
51699045,포장용기 DL-204,8809158608737 ,600,170 ,8809158608737 ,1
52315007,대한키친호일 14*30*40,8808035029148 ,30,6248 ,8808035029148 ,1
91599099,투명용기 DA-1600A,0 ,250,339 ,0 ,1
51699043,포리마우동대,8809018272629 ,18,4000 ,8809436970374 ,1
10139059,바이오킵스 직41호,8801775715050 ,24,4653 ,8801775715050 ,1
27601004,분무기 700,8809064179293 ,100,3210 ,8809064179293 ,1
51741007,태화고무장갑 S(소),8801179000127 ,100,1507 ,8801179000127 ,1
51699073,포인트트레이(청)26호,8809275480980 ,1000,94 ,8809275480980 ,1
91599251,기성 C-34 깐쪽파,0 ,5000,78 ,0 ,1
51499002,지퍼백(인쇄) 30*40,0 ,1,283 ,0 ,1
90999065,쇼핑백 중 (흑) 100매,8809021533717 ,40,2069 ,8809021533717 ,1
5212004,롯데이라이프 종이접시 170*8P,8801235205800 ,1,792 ,8801235205800 ,1
7207024,은사수세미 대 1매[인산],8809104180821 ,80,528 ,8809104180821 ,1
51199003,롤백36*50(무지),8809178163751 ,10,7467 ,8809178163751 ,1
51889001,오런 청포도이중코팅장갑,8809013613281 ,1,770 ,8809013613281 ,1
50499031,썬터치 스마트 자동토치,8809018697873 ,1,8624 ,8809018697873 ,1
65101009,에너자이저LR03AAA(2입),8809215056978 ,20,1240 ,8888021200676 ,1
91299020,홈베큐 참나무장작 8kg,8809291342521 ,1,8100 ,8809291342521 ,1
91599122,태방-402-2(배2입),0 ,200,327 ,0 ,1
61417002,로얄라이프 3겹 35m*2롤,8809137070038 ,24,1250 ,8809137070038 ,1
7224014,항균양면다목적수세미SL-135_NH,8806080009337 ,120,1540 ,8806080009337 ,1
51699113,탕용기 중(세트),8809194790566 ,4,25000 ,0 ,1
51515005,대한웰빙은박접시 20cm 10p,8808035010429 ,50,1265 ,8808035010429 ,1
7205020,다목적수세미중3입AL2703,8806080009320 ,50,3990 ,8801230100247 ,1
51309001,롯데장갑50매(영업용),8809147938533 ,50,1100 ,8801235340037 ,1
51745006,고무장갑 면코팅(중),8801252046400 ,100,1815 ,8801252046400 ,1
7245009,은사니트수세미(소),8806382132924 ,120,594 ,8801252070047 ,1
26401002,통면봉,8809004104163 ,10,690 ,8809004104163 ,1
29901003,통이쑤시게 대,8809004104170 ,10,880 ,8809004104170 ,1
52345001,호일15*25*10,8806382127128 ,30,2288 ,8801252052166 ,1
51846001,명진 고무장갑속장갑 1입,8802739469569 ,1,451 ,8802739469569 ,1
51699202,탕용기 대(세트),8806382114548 ,4,26000 ,0 ,1
50499017,하이썬부탄가스(BOX),2100001009670 ,1,29400 ,8801551302115 ,1
51674008,친환경위생도시락 5P (신우),8809011280942 ,100,928 ,8809011280942 ,1
51515004,대한웰빙은박접시 18cm 10p,8808035010405 ,50,1100 ,8808035010405 ,1
50399022,은박돗자리 모꼬지,8802240002095 ,1,2420 ,8802240002095 ,1
50499021,불총플러스 대,8809018699181 ,1,2761 ,8809018699181 ,1
91599226,진공필름0.6 200*300,0 ,1,62 ,0 ,1
29101002,다목적회전옷걸이(3P),8809064173871 ,32,1760 ,8809064173871 ,1
2212021,청결 다회용 중발 1호,8804348003059 ,90,2717 ,8804348003059 ,1
7207025,뉴쿨샤워타올 1매[인산],8809104180906 ,40,2167 ,8809104180906 ,1
65125007,스위스밀리터리 R20 2PL,8809318001226 ,60,1386 ,8809318001226 ,1
91599028,상추C-40,8809233201299 ,4000,121 ,0 ,1
51699036,포리마(흑)77호(66호),8809206995576 ,800,125 ,8809206995576 ,1
91599001,감자C-54,8806346501353 ,4000,131 ,8806346501353 ,1
52315010,대한키친호일 14*30*20,8808035029131 ,30,3476 ,8808035029131 ,1
9249947,다라이(행사),8809178168121 ,1,2420 ,0 ,1
91799121,케이오와이 황사 방역마스크 KF94,2100001150716 ,1,220 ,8809738820001 ,1
52316005,대한종이호일30cm*30m,8808035014137 ,40,4202 ,8808035014137 ,1
7224012,철수세미3입 45g*3_NH,8806080009436 ,80,3440 ,8806080009436 ,1
51799036,하얀손 니트릴 슬림장갑 50매_중,8809018356077 ,40,6080 ,8809018356077 ,1
51145005,크린롤백30*40*500매,8806382105126 ,12,8800 ,8801252025122 ,1
90999061,쇼핑백 특대 (흑) 80매,8809021533670 ,20,4399 ,8809021533670 ,1
40201008,A4무지봉투(10P),8809000310131 ,400,450 ,8809000310131 ,1
26401005,고급면봉(100P*4),8802185300256 ,150,1440 ,8802185300256 ,1
30607001,장갑형타올1매[인산],8809104180876 ,80,1177 ,8809104180876 ,1
28299127,매직패드 흡수지(15*20),2100000803316 ,2000,60 ,0 ,1
51345006,크린장갑프리미엄50매,8806382101975 ,40,2275 ,8801252042501 ,1
51209004,롯데위생백(중)알뜰 25*35*100,8806382127432 ,30,1500 ,8801235220452 ,1
2212024,청결 다회용우동그릇(소)1000ml,8804348003387 ,60,4048 ,8804348003387 ,1
7499014,극세사 요술행주1p,8809115485885 ,1,990 ,8809115485885 ,1
51889011,대광 완코팅장갑,8809013610860 ,1,1199 ,8809013610860 ,1
28001003,해피존산적꽂이(소5),8809064176988 ,30,1100 ,8809064176988 ,1
65148007,리튬 코인건전지 2032 2입,8809215050112 ,12,2780 ,8888021300727 ,1
16699011,EVA로얄미니삼선슬리퍼,8806382109568 ,1,3300 ,8806362500118 ,1
65101002,에너자이저맥스AA(4입),8806382100299 ,1,4822 ,8888021200126 ,1
51699042,포리마(통닭대)270x427x85,8809150608430 ,200,228 ,8809436970435 ,1
